part,fournisseur,description,marque,prix,quantity
UL9066001,eparts,PAPER PICK UP ROLLER ASSY,brother,12.4,1
CF400X,EET,Toner Black 201X,hp,103.3,3
MODERN14C13M423BE,Copaco,14i FHD 60Hz thin bezel/i5-1335U / 8GB / 512GB SSD (NVMe PCIe Gen3x4 ) / x x x / W11,msi,1003.65,2
8750002078,Difox,Bosch Smart Home Interrupteur Ã©clairage/volets roulants II,bosch,56.74,10
912-V390-255,Acadia,MSI RTX 3060 GAMING Z TRIO 12G,msi,355.3,20
RA0631B,psaparts,31, ,0.0,28
2P-L32407-AC1,psaparts,0, ,2.0,30
7000,Secomp,GUDE capteur de température p. EMC Prof NET 19,gude,58.36,3
FSP:G-SW3GX60PRE0B,macle,SP 3Y TS SUBundUPGR 9X5 4H RT,fujitsu,6550.0,50
RL1-1206-000CN,convena,HPI ROLLER. PICK-UP,hp inc.,3.49,1
U4AF1E,techdata,HPE Foundation Care Software Support 24x7 - Support technique - pour HPE Intelligent Management Center User Authentication Manager Software - support téléphonique - 1 année - 24x7 - temps de réponse : 2 h,hewlett packard enterprise,104.0,9876
5307302,Also,FELLOWES IL LAMINATING POUCH A5 125MIC 100PK,fellowes,11.09,5
C13T33314012,Also,EPSON Cartouche Oranges Encre Claria Premium Noir,epson,13.44,8
943-000805,Also,LOGITECH G740 - N/A - EER2,logitech,29.16,3
C13T26214012,Octant,"EPSON Cartouche Ours Polaire 26XL Encre Claria Premium Noir 12,2ml",epst262140,16.58,1
UTP603Y,EET,U/UTP CAT6 3M Yellow LSZH,microconnect,2.4,356
U05GNE,Also,HP 4 years Wolf Protect and Trace Hardware Support,hp inc.,13.91,100
WECOQTPUI582019,PCA,WE Coque de protection TPU APPLE IPHONE 11 PRO Transparent,we,3.3,327
DS423+/2G/16T-WDRED+/ASSEMBLE,ecp,Reseaux/Boitier NAS avec Disque/,synology,902.43,1
EC55BK-21B243-A6,Jarltech,"Zebra EC55, 8-Pin, 2D, SE4100, BT, WiFi, 4G, NFC, GPS, GMS, batt. étendue, Android",zebra,917.17,13
793671-B21,macle,HPE HDD 6TB SAS 7.2K LFF 3.5'',hewlett packard enterprise,294.0,1
9M3W4AT#UUG,Copaco,HP EliteBook 650 G9 UMA i5-1235U vProE 15.6 FHD 400 HD LowPower 16GB (1x16GB) DDR4 3200 512GB PCIe W11p64 1yr Wty P&R|3yr NB Service Ext On-site AZERTY BE,hp printing & computing,780.3,451
Q1518A,macle,HPE LAUFWERK LTO2 ULTRIUM 460 200/400GB,hewlett packard enterprise,99.0,1
L01028-DH1,EET,Keyboard (Nordic),hp,70.8,3
F9K05A,techdata,"HP 745 - 300 ml - haute capacité - noir mat - original - DesignJet - cartouche d'encre - pour DesignJet Z2600 PostScript, Z5600 PostScript",hp,210.41,3
21453842            ,Ingram,NORTON SMALL BUSINESS 2.0 250GB,symantec            ,44.8,9999
2145-AH14,macle,IBM 16GB FC 4-PORT CARD FOR SVC,ibm,80.0,28
CMT32GX5M2X5600C36,ecp,Integration/5- Mémoire/DIMM DDR5/2- Gamer,corsair,348.9,1
40AS0090DE,EET,ThinkPad USB-C Dock Gen2,lenovo,336.2,308
PB700K3-1-WW,Copaco,PocketBook Era Color - Stormy Sea,pocketbook,202.35,146
,terra computer,Kabel LAN S/FTP (Patchkabel) CAT6 1m orange,diverse hersteller,1.99,100
H3DR5E,macle,EPACK 1YR FC 24X7 7210 CTR,hewlett packard enterprise,6703.0,50
2P-B125XTN02.0,psaparts,4, ,2.0,48
PR18020A6 MCVP,Supplies24,ORIGINAL Prindo Papier Blanc PR18020A6 MCVP Fotopapier - Glossy Paper InkJet,pr18020a6 mcvp,7.48,1
PRIHPCN626AE,Supplies24,ORIGINAL Prindo Cartouche d'encre Cyan PRIHPCN626AE 971XL ~6600 Seiten 110ml Alternatif pour HP CN626AE (971XL),prihpcn626ae,23.44,1
462992,Secomp,IRIScan Desk 6 Pro Dyslexic A3,i.r.i.s.,305.0,4
FCC7BMSHF-2M/N,techdata,"MCL - Cordon de raccordement - RJ-45 (M) pour RJ-45 (M) - 2 m - 6.2 mm - S/FTP - CAT 7 - sans halogène, moulé, sans crochet - noir",mcl samar,11.56,3
H7LE8E,techdata,"HPE Foundation Care Software Support 24x7 - Support technique - pour Aruba Mobility Master Virtual Appliance - 500 clients, 50 dispositifs, 5 contrôleurs - ESD - support téléphonique - 1 année - 24x7 - temps de réponse : 2 h",hewlett packard enterprise,296.0,9876
CFQ7TTC0HD4G-001D-1J1J,terra computer,CSP Dynamics 365 Human Resources Sandbox (Education Student Pricing) [1J1J],microsoft,4539.46,100
BRP1D300060,Supplies24,ORIGINAL Brother Rouleau de transfert thermique Noir(e) BRP1D300060 BRP-1D300-060,brp1d300060,8.82,1
820570-002,macle,HPE MEM 8GB PC4-17000 DDR4-2133MHz,hewlett packard enterprise,139.0,3
,Secomp,"Cordon Cat.6A FTP blanc, 0,30m",secomp,0.85,917
461494-001-RFB,EET,4 Gb Fiber Channelboard,hewlett packard enterprise,211.8,1
U3PJ0E,macle,EPACK 5YR 4H EXCH 12900 SWTC F,hewlett packard enterprise,61493.0,50
DY-CS3310,techdata,DLH - Câble de sécurité - noir - 1.8 m,dlh,13.87,2
FCC6ABMSHF-2M,techdata,MCL - Cordon de raccordement - RJ-45 (M) pour RJ-45 (M) - 2 m - SFTP - CAT 6a - sans crochet - gris,mcl samar,9.93,51
503296-B21,Ikonic,HPE 460W CS Gold Ht Plg Power,503296-b21,0.0,20
H1LL4PE,techdata,HPE Foundation Care Next Business Day Exchange Service Post Warranty - Extended service agreement (renewal) - remplacement - 1 année - expédition - 9x5 - temps de réponse : NBD,hewlett packard enterprise,141.0,9876
981-000350,Kosatec,Logitech Stereo Headset H150 On Ear Klinke,logitech,8.11,87
DS220+/2G/2Y/20T-TOSHIBAN300,ecp,Reseaux/Boitier NAS avec Disque/,synology,783.91,1
612557,Difox,Wenger NEXT23 Crango 16 Sac Ã  dos laptop noir,wenger,25.87,3
USB3.1CCOM16,EET,"USB-C Mini Dock, USB-C to ",microconnect,49.5,106
3813430,Siewert & Kau,Intenso - solid state drive - SATA 6Gb/s,intenso,9.67,69
22910295            ,Ingram,CB-UK01-20A-E AC CABLE UK      ,seiko               ,4.98,1
2P-TPN-AA03,psaparts,9V,28.73,71.0,15
C13T08034011,West Cost,EPSON ENCRE M T0803 COLIBRI,epson supplies,9.0,69
2P-446430-001,psaparts,5, ,2.0,8
U9YX7E,macle,EPACK 4yr Nbd+DMR DesignJetZ6-,hp inc.,948.0,50
U442-DOCK7D-B       ,Ingram,TRIPLE-MONITOR USB-C DOCK STN  ,eaton               ,56.84,30
0B36404,ecp,Integration/6- Stockage/2- DISQUE DUR/Disque 3.5p,hgst,195.9,1
HY4U3E,techdata,"HPE Pointnext Tech Care Basic Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 9x5 - temps de réponse : NBD - pour P/N: P55239-B21, P55240-B21, P55241-B21, P55242-B",hewlett packard enterprise,1953.0,9876
H4VN2PE,macle,EPACK 12PLUS FC NBD EXCH 7240X,hewlett packard enterprise,9401.0,50
Z16L_1_FR_CTO,techdata,CTO/Mac mini/Puce M2 CPU8 GPU8 NE16/Memory 16 Go /SSD 512 Go/Gigabit Ethernet /No_Software,apple,965.84,8
U3LH8E,techdata,HPE Foundation Care Call-To-Repair Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 24x7 - délai de réparation : 6 heures,hewlett packard enterprise,190216.0,9876
U3LL3E,macle,EPACK 3YR CTR 1 ADV ZL MODULE,hewlett packard enterprise,3412.0,50
46D1351,macle,IBM CPU QC XEON E5504 2.00GHz  800MHz,ibm,89.0,21
RP000313348,EET,8100/8150 Maint Kit,hp,173.7,1
ABSEXTWRTICO165C,techdata,Absen - Contrat de maintenance prolongé,absen,1099.91,9876
D00HE2002,EET,MAIN PCB:B57T177 UNIT MI2710NW,brother,45.3,1
WESOURFILMTLBC,PCA,"Souris filaire WE 1200DPI , USB, longeur c ble 1.5m finition métallique blanche",we,3.52,1253
LC3235XLBK,West Cost,BROTHER ENCRE N 6K LC3235XLBK,brother supplies,26.0,74
826691-B21,Ikonic,HPE DL380 Gen10 Box1/2 Cage,826691-b21,0.0,11
2P-0C17679,psaparts,8, ,2.0,50
CMW8GX4M1Z3200C16,Siewert & Kau,CORSAIR RAM Vengeance RGB PRO - 8 GB - DDR4 3200 DIMM CL16,corsair,24.61,11
4VP7C,EET,Cable DC-IN,dell,18.0,48
HY4A1E,techdata,HPE Pointnext Tech Care Critical Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: Q9D33A,hewlett packard enterprise,19786.0,9876
D1583820,Arles,TRANSFER ROLLER:ASS'Y,ricoh nd,16.68,16
P0420SUD0-DE,Siewert & Kau,CyberPower Professional Series P0420SUD0-DE - surge protector,cyberpower,12.07,13
90NB0B31-R7B010,EET,LCD Bezel Assy,asus,6.0,19
MW5L5_1PS3PS        ,Ingram,PRECISION 1Y PROSPT TO 3Y      ,dell emc            ,174.21,9999
0453C004,Imcopex,Canon Cartridge CONTRACT CRG 041H Black Schwarz (0453C004),canon,139.58,30
0F38459,ecp,Integration/6- Stockage/2- DISQUE DUR/Disque 3.5p,hgst,313.21,1
100-100000061WOF,Kosatec,"AMD AM4 Ryzen 9 12 Box WOF 5900X 3,7GHz MAX Boost 4,8GHz 12xCore 70MB 105W",amd,287.03,85
R9861611EUB1,techdata,Barco ClickShare C-10 - Commutateur,barco,1325.0,498
